Algorithm_Instance_Name,Algorithm_RDF_Type,Algorithm_Architecture,Task_Type,Precision,Recall,F1_Score,mIoU,mAP,FPS,Parameters_M,GFLOPs,Hardware_Requirement,Data_Annotation_Cost_USD,Model_Retraining_Freq_months,Explainability_Score,Processing_Cost_per_GB,Dataset_Used,Key_Features,Training_Requirements
DL_UNet_Enhanced_VGG16,DeepLearningAlgorithm,Enhanced-UNet-VGG16-Attention,Segmentation,0.78,0.75,0.765,0.72,0,8,28.5,45.2,Standard_GPU,1.50,6,2,0.85,CFD,Good-crack-segmentation balanced-performance,Medium-dataset GPU-required
DL_UNet_Enhanced_DeepCrack,DeepLearningAlgorithm,Enhanced-UNet-DeepCrack,Segmentation,0.80,0.78,0.79,0.76,0,10,25.3,38.6,Standard_GPU,1.50,6,2,0.80,DeepCrack,Specialized-crack-detection multi-scale,Large-dataset GPU-required
DL_YOLOv5s_Enhanced,DeepLearningAlgorithm,YOLOv5s-ECA-DecoupledHead,Detection,0.82,0.76,0.79,0,0.80,35,7.2,16.5,Standard_GPU,0.30,9,2,0.50,UAV-Custom,Fast-detection real-time-capable,Moderate-dataset standard-GPU
DL_DDLCN,DeepLearningAlgorithm,DDLCN-MaskRCNN-Based,Detection-Measurement,0.85,0.83,0.84,0,0.82,12,45.8,89.3,HighEnd_GPU,1.20,6,2,1.20,Custom-Dataset,High-accuracy measurement-capable,Large-dataset high-GPU
DL_LPDD_YOLO,DeepLearningAlgorithm,LPDD-YOLO-Lightweight,Detection,0.68,0.65,0.665,0,0.66,75,3.7,7.2,Standard_GPU,0.25,12,2,0.30,Custom-Dataset,Edge-deployment lightweight,Small-dataset edge-capable
DL_Crack_MsCGA,DeepLearningAlgorithm,Crack-MsCGA-MultiScale,Detection,0.84,0.81,0.825,0,0.83,25,11.2,32,Standard_GPU,0.40,9,3,0.65,DH807,Multi-scale good-balance,Medium-dataset standard-GPU
DL_Transformer_MultiScale,DeepLearningAlgorithm,Transformer-MultiScale-Fusion,Detection-Segmentation-Classification,0.82,0.80,0.81,0.83,0.85,8,85.6,125.4,HighEnd_GPU,2.50,3,1,1.80,10K-Images,State-of-art complex-analysis,Very-large-dataset transformer-capable
DL_MobileNet_Classifier,DeepLearningAlgorithm,MobileNet-V3,Classification,0.88,0.85,0.865,0,0,100,5.4,0.22,Standard_GPU,0.08,18,3,0.20,Concrete-Crack-Types,Mobile-deployment efficient,Transfer-learning small-data
DL_YOLOv8_DGS,DeepLearningAlgorithm,YOLOv8-DepthwiseSeparable,Detection,0.86,0.83,0.845,0,0.87,60,8.9,18.3,Standard_GPU,0.35,9,2,0.55,Custom-Dataset,Latest-architecture efficient,Medium-dataset YOLOv8-base
DL_DenseNet121,DeepLearningAlgorithm,DenseNet121,Classification,0.85,0.82,0.835,0,0,50,8.1,2.9,Standard_GPU,0.08,18,3,0.25,Crack-Types,Dense-connections stable,Transfer-learning standard
