solution_id,method,sensor,algorithm,data_rate_Hz,geometric_LOD,condition_LOD,detection_threshold,storage,communication,deployment,crew_size,inspection_cycle_days,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,detection_recall,system_MTBF_hours,system_MTBF_years,annual_cost_USD,cost_per_km_year,carbon_footprint_tons_CO2_year,is_feasible,constraint_violation,time_seconds
1,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.5,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,37,4390869.4840876125,0.05896701346479172,8.216043452946552,0.3286631719782617,163.81943944864864,0.00016629313113812033,0.9410329865352083,6013.477484944441,0.6864700325279043,439086.94840876124,2195.434742043806,0.16381943944864863,True,0.0,0.022648334503173828
2,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.5,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,55,4130544.873840758,0.05896701346479172,8.216043452946552,0.3286631719782617,163.63569562909092,0.00016629313113812033,0.9410329865352083,6013.477484944441,0.6864700325279043,413054.4873840758,2065.2724369203793,0.16363569562909092,True,0.0,0.022648334503173828
3,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.5,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,73,3998599.5234416667,0.05896701346479172,8.216043452946552,0.3286631719782617,163.5425652,0.00016629313113812033,0.9410329865352083,6013.477484944441,0.6864700325279043,399859.9523441667,1999.2997617208334,0.16354256520000002,True,0.0,0.022648334503173828
4,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.5,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,92,3915336.908002627,0.05896701346479172,8.216043452946552,0.3286631719782617,163.4837963,0.00016629313113812033,0.9410329865352083,6013.477484944441,0.6864700325279043,391533.69080026273,1957.6684540013136,0.16348379629999998,True,0.0,0.022648334503173828
5,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,37,4390869.4840876125,0.07378164660246522,8.216043452946552,0.3286631719782617,163.81943944864864,0.00016629313113812033,0.9262183533975348,6013.477484944441,0.6864700325279043,439086.94840876124,2195.434742043806,0.16381943944864863,True,0.0,0.022648334503173828
6,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,55,4130544.873840758,0.07378164660246522,8.216043452946552,0.3286631719782617,163.63569562909092,0.00016629313113812033,0.9262183533975348,6013.477484944441,0.6864700325279043,413054.4873840758,2065.2724369203793,0.16363569562909092,True,0.0,0.022648334503173828
7,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,73,3998599.5234416667,0.07378164660246522,8.216043452946552,0.3286631719782617,163.5425652,0.00016629313113812033,0.9262183533975348,6013.477484944441,0.6864700325279043,399859.9523441667,1999.2997617208334,0.16354256520000002,True,0.0,0.022648334503173828
8,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,92,3915336.908002627,0.07378164660246522,8.216043452946552,0.3286631719782617,163.4837963,0.00016629313113812033,0.9262183533975348,6013.477484944441,0.6864700325279043,391533.69080026273,1957.6684540013136,0.16348379629999998,True,0.0,0.022648334503173828
9,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.6599999999999999,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,37,4390869.4840876125,0.09195454993100438,8.216043452946552,0.3286631719782617,163.81943944864864,0.00016629313113812033,0.9080454500689956,6013.477484944441,0.6864700325279043,439086.94840876124,2195.434742043806,0.16381943944864863,True,0.0,0.022648334503173828
10,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.6599999999999999,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,55,4130544.873840758,0.09195454993100438,8.216043452946552,0.3286631719782617,163.63569562909092,0.00016629313113812033,0.9080454500689956,6013.477484944441,0.6864700325279043,413054.4873840758,2065.2724369203793,0.16363569562909092,True,0.0,0.022648334503173828
11,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.6599999999999999,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,73,3998599.5234416667,0.09195454993100438,8.216043452946552,0.3286631719782617,163.5425652,0.00016629313113812033,0.9080454500689956,6013.477484944441,0.6864700325279043,399859.9523441667,1999.2997617208334,0.16354256520000002,True,0.0,0.022648334503173828
12,GridSearchBaseline,IoT_Professional_Network,DL_MaskRCNN_ResNet50,46.0,Meso,Meso,0.6599999999999999,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,92,3915336.908002627,0.09195454993100438,8.216043452946552,0.3286631719782617,163.4837963,0.00016629313113812033,0.9080454500689956,6013.477484944441,0.6864700325279043,391533.69080026273,1957.6684540013136,0.16348379629999998,True,0.0,0.022648334503173828
13,GridSearchBaseline,IoT_Professional_Network,Traditional_Morphology,46.0,Meso,Meso,0.5,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,37,3488014.64764779,0.10526938952250975,8.179818452946552,0.3286631719782617,163.81789091148647,0.0001359432839173286,0.8947306104774903,7356.008852987041,0.8397270380122193,348801.464764779,1744.0073238238951,0.16381789091148646,True,0.0,0.022648334503173828
14,GridSearchBaseline,IoT_Professional_Network,Traditional_Morphology,46.0,Meso,Meso,0.5,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,55,3487987.98387215,0.10526938952250975,8.179818452946552,0.3286631719782617,163.6346538859091,0.0001359432839173286,0.8947306104774903,7356.008852987041,0.8397270380122193,348798.798387215,1743.993991936075,0.16363465388590911,True,0.0,0.022648334503173828
15,GridSearchBaseline,IoT_Professional_Network,Traditional_Morphology,46.0,Meso,Meso,0.5,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,73,3487974.469355729,0.10526938952250975,8.179818452946552,0.3286631719782617,163.541780325,0.0001359432839173286,0.8947306104774903,7356.008852987041,0.8397270380122193,348797.4469355729,1743.9872346778645,0.163541780325,True,0.0,0.022648334503173828
16,GridSearchBaseline,IoT_Professional_Network,Traditional_Morphology,46.0,Meso,Meso,0.5,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,92,3487965.9411735684,0.10526938952250975,8.179818452946552,0.3286631719782617,163.48317351875,0.0001359432839173286,0.8947306104774903,7356.008852987041,0.8397270380122193,348796.5941173568,1743.9829705867842,0.16348317351875,True,0.0,0.022648334503173828
17,GridSearchBaseline,IoT_Professional_Network,Traditional_Morphology,46.0,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,37,3488014.64764779,0.13010847436299788,8.179818452946552,0.3286631719782617,163.81789091148647,0.0001359432839173286,0.8698915256370021,7356.008852987041,0.8397270380122193,348801.464764779,1744.0073238238951,0.16381789091148646,True,0.0,0.022648334503173828
18,GridSearchBaseline,IoT_Professional_Network,Traditional_Morphology,46.0,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,55,3487987.98387215,0.13010847436299788,8.179818452946552,0.3286631719782617,163.6346538859091,0.0001359432839173286,0.8698915256370021,7356.008852987041,0.8397270380122193,348798.798387215,1743.993991936075,0.16363465388590911,True,0.0,0.022648334503173828
19,GridSearchBaseline,IoT_Professional_Network,Traditional_Morphology,46.0,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,73,3487974.469355729,0.13010847436299788,8.179818452946552,0.3286631719782617,163.541780325,0.0001359432839173286,0.8698915256370021,7356.008852987041,0.8397270380122193,348797.4469355729,1743.9872346778645,0.163541780325,True,0.0,0.022648334503173828
20,GridSearchBaseline,IoT_Professional_Network,Traditional_Morphology,46.0,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,92,3487965.9411735684,0.13010847436299788,8.179818452946552,0.3286631719782617,163.48317351875,0.0001359432839173286,0.8698915256370021,7356.008852987041,0.8397270380122193,348796.5941173568,1743.9829705867842,0.16348317351875,True,0.0,0.022648334503173828
