solution_id,method,sensor,algorithm,data_rate_Hz,geometric_LOD,condition_LOD,detection_threshold,storage,communication,deployment,crew_size,inspection_cycle_days,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,detection_recall,system_MTBF_hours,system_MTBF_years,annual_cost_USD,cost_per_km_year,carbon_footprint_tons_CO2_year,is_feasible,constraint_violation,time_seconds,weights
1,WeightedSumBaseline,Camera_Basler_ace2Pro,ML_SVM_Optimized,40.94174416307312,Meso,Micro,0.6038876475984711,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Intel_NUC_Extreme,4,66,1191478.2775567789,0.05174296801218692,78.06201245141204,15.387148664045599,280.21988906495733,0.00011473285685338784,0.9482570319878131,8715.899066976575,0.9949656469151341,119147.82775567789,595.7391387783895,0.2802198890649573,True,0.0,17.040797233581543,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
2,WeightedSumBaseline,Camera_Basler_ace2Pro,DL_YOLOv8_Nano,27.104535228818744,Macro,Micro,0.6218527275283502,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,4,26,2527439.6380631416,0.07280077756570624,70.73264205821651,39.0596850702696,588.2539368726192,0.00011775511838958127,0.9271992224342938,8492.19986082981,0.9694292078572844,252743.96380631416,1263.7198190315708,0.5882539368726192,True,0.0,17.040797233581543,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,WeightedSumBaseline,Camera_Basler_ace2Pro,ML_XGBoost_Tuned,55.137403611196994,Meso,Micro,0.4030449797979362,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Jetson_AGX_Orin,4,20,4270666.283949242,0.040000000000000036,70.31040475629476,50.777590591350474,954.6228730393475,0.0001799645646237953,0.96,5556.649455354935,0.6343207140816135,427066.6283949242,2135.333141974621,0.9546228730393475,True,0.0,17.040797233581543,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
4,WeightedSumBaseline,Vehicle_Accelerometer_Pro,ML_SVM_Optimized,35.91076080615217,Meso,Meso,0.8260324470651075,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Intel_NUC_Extreme,4,88,3481536.9991130903,0.12543897835922546,66.05614697248805,5.3855020324159595,210.35214611101927,0.00042263116262564925,0.8745610216407745,2366.1293544644795,0.2701060906922922,348153.69991130906,1740.7684995565453,0.21035214611101927,True,0.0,17.040797233581543,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
5,WeightedSumBaseline,Vehicle_Accelerometer_Pro,DL_YOLOv8_SOTA,19.75659442464837,Macro,Micro,0.48335003121575404,Storage_Google_Cloud,Communication_4G_Rural,Deployment_Jetson_AGX_Orin,4,168,4528861.68284955,0.042698691774963105,66.4657814701555,2.8209772550750265,136.72655042011507,0.0004390683339854212,0.9573013082250369,2277.5498085298127,0.25999427038011563,452886.16828495497,2264.430841424775,0.13672655042011508,True,0.0,17.040797233581543,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
6,WeightedSumBaseline,Vehicle_Accelerometer_Pro,DL_EfficientNet_B0,52.954128875318574,Micro,Meso,0.7143310685335499,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,1,139,3736969.98983324,0.06228196296565813,66.50933001951,1.7047632332827498,154.58394667427834,0.0004565192672546674,0.9377180370343419,2190.4880510599655,0.2500557135913203,373696.998983324,1868.4849949166198,0.15458394667427833,True,0.0,17.040797233581543,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
7,WeightedSumBaseline,MMS_ZF_Profiler9020C,Traditional_Otsu_Enhanced,49.64948306234744,Micro,Macro,0.6569500675166471,Storage_Hybrid_Tiered,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,13,4481063.786904686,0.10629573129257897,172.58280262711142,316.3834490691838,5908.149798368476,5.488968997837058e-05,0.893704268707421,18218.357589449904,2.079721186010263,448106.3786904686,2240.531893452343,5.908149798368476,True,0.0,17.040797233581543,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
8,WeightedSumBaseline,Vehicle_Accelerometer_Pro,ML_SVM_Optimized,55.71794074281395,Meso,Micro,0.602038643032189,Storage_Hybrid_Tiered,Communication_Fiber_Metro,Deployment_Intel_NUC_Extreme,3,139,1601481.869131195,0.050093429809914936,66.08711577298138,3.0685738199089503,153.78708661074842,0.00020669937131305297,0.9499065701900851,4837.944081046416,0.5522767215806411,160148.18691311948,800.7409345655974,0.1537870866107484,True,0.0,17.040797233581543,"[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
9,WeightedSumBaseline,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,79.83708473225799,Macro,Macro,0.5592300195090195,Storage_Hybrid_Tiered,Communication_Fiber_Metro,Deployment_Intel_NUC_Extreme,2,70,1386635.422422139,0.15956136408271804,66.89919284393515,10.155518118270097,254.54827784224915,9.93487829161946e-05,0.840438635917282,10065.548571878806,1.1490352251003204,138663.5422422139,693.3177112110695,0.25454827784224915,True,0.0,17.040797233581543,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0]"
10,WeightedSumBaseline,Vehicle_Accelerometer_Pro,DL_MobileNetV3_Edge,26.078798247750058,Meso,Micro,0.3924026749251316,Storage_Hybrid_Tiered,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,2,71,1432487.111746332,0.040000000000000036,66.09554003901033,4.672491904180608,246.7439710902857,0.0002332544374635218,0.96,4287.163883672687,0.4894022698256492,143248.71117463318,716.2435558731659,0.2467439710902857,True,0.0,17.040797233581543,"[0.5, 0.0, 0.0, 0.5, 0.0, 0.0]"
