solution_id,method,sensor,algorithm,data_rate_Hz,geometric_LOD,condition_LOD,detection_threshold,storage,communication,deployment,crew_size,inspection_cycle_days,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,detection_recall,system_MTBF_hours,system_MTBF_years,annual_cost_USD,cost_per_km_year,carbon_footprint_tons_CO2_year,is_feasible,constraint_violation,time_seconds
1,RandomSearchBaseline,MMS_ZF_Profiler9020C,DL_RetinaNet_Focal,32.5,Meso,Meso,0.58,Storage_AWS_S3_Glacier,Communication_V2X_RSU,Deployment_Cloud_GPU_A4000,2,73,1999661.4891617757,0.06978478287658008,400.0,43.82175626376822,2381.1208,0.0001626069178881003,0.9302152171234199,6149.799854691058,0.7020319468825408,199966.14891617757,999.8307445808879,2.3811208,False,200.0,0.7594170570373535
2,RandomSearchBaseline,FOS_Basic_FBG,DL_SAM_Detectron2,46.0,Meso,Meso,0.62,Storage_AWS_S3_Glacier,Communication_LoRaWAN_Gateway,Deployment_Cloud_H100,3,44,74718691.63297582,0.07378164660246522,267.06309122529643,0.3286631719782617,133.70995152242423,0.00013677225894241036,0.9262183533975348,7311.424171337715,0.8346374624814743,7471869.1632975815,37359.345816487905,0.13370995152242424,False,64718691.63297582,0.7594170570373535
3,RandomSearchBaseline,MMS_ZF_Profiler9020C,DL_MaskRCNN_ResNet50,41.5,Meso,Meso,0.54,Storage_AWS_S3_Glacier,Communication_LoRaWAN_Gateway,Deployment_Cloud_H100,3,66,2633850.753569657,0.06598900949121878,400.0,62.31795208938469,2397.562213333333,0.00016455003672018813,0.9340109905087812,6077.178832238529,0.6937418758263161,263385.0753569657,1316.9253767848286,2.397562213333333,False,200.0,0.7594170570373535
4,RandomSearchBaseline,MMS_ZF_Profiler9020C,DL_YOLOv8_SOTA,41.7841884542651,Meso,Meso,0.621066067236867,Storage_AWS_S3_Glacier,Communication_LoRaWAN_Gateway,Deployment_Cloud_H100,4,41,2937022.9108174997,0.05749724556865432,400.0,111.46300373711081,2602.152931085522,0.00016455003672018813,0.9425027544313457,6077.178832238529,0.6937418758263161,293702.29108174995,1468.5114554087497,2.6021529310855223,False,200.0,0.7594170570373535
5,RandomSearchBaseline,IoT_LoRaWAN_Sensor,DL_SAM_Detectron2,43.43182203477823,Meso,Meso,0.5969940112218405,Storage_AWS_S3_Glacier,Communication_5G_SmallCell,Deployment_Intel_NUC_Extreme,2,55,5621184.672186498,0.14197064926065184,8.319815206713415,0.2556269115386479,11.150268180130302,0.0002482820074384602,0.8580293507393482,4027.6780839540393,0.45978060319110037,562118.4672186498,2810.592336093249,0.011150268180130303,True,0.0,0.7594170570373535
6,RandomSearchBaseline,UAV_Riegl_miniVUX3,DL_RetinaNet_Focal,34.40352617794518,Meso,Meso,0.4487610014560285,Storage_AWS_S3_Glacier,Communication_V2X_RSU,Deployment_Cloud_H100,4,38,4736689.27441779,0.0481669295941779,400.0,48.71753483271018,1228.9762826836054,0.00031083364909969093,0.9518330704058221,3217.154908731515,0.36725512656752457,473668.92744177894,2368.3446372088947,1.2289762826836055,False,200.0,0.7594170570373535
7,RandomSearchBaseline,MMS_Basic_Camera,DL_EfficientNet_B0,46.18699053271163,Meso,Meso,0.5679887985897049,Storage_AWS_S3_Glacier,Communication_LoRaWAN_Gateway,Deployment_Intel_NUC_Extreme,4,49,1346175.4775766865,0.07337038153842756,400.0,77.07312857615699,990.5985332424698,0.00021129661206265387,0.9266296184615724,4732.683549623025,0.5402606791807106,134617.54775766865,673.0877387883432,0.9905985332424698,False,200.0,0.7594170570373535
8,RandomSearchBaseline,MMS_Trimble_MX50,DL_MobileNetV3_Edge,37.00605307344042,Micro,Meso,0.6015053242524588,Storage_AWS_S3_Glacier,Communication_V2X_RSU,Deployment_Cloud_GPU_A4000,1,80,1484875.7161449555,0.047178737138310334,400.0,27.341779549188725,1725.5793701245468,0.00020177973137598229,0.9528212628616897,4955.899153898018,0.5657419125454358,148487.57161449554,742.4378580724776,1.7255793701245468,False,200.0,0.7594170570373535
9,RandomSearchBaseline,MMS_Trimble_MX50,DL_MobileNetV3_Edge,41.61960076451629,Meso,Meso,0.5915742120629176,Storage_AWS_S3_Glacier,Communication_V2X_RSU,Deployment_Cloud_GPU_A4000,3,134,1664341.6551009621,0.08052187523738541,400.0,29.38221085882967,1594.0977097052369,0.00019036420626182703,0.9194781247626146,5253.088380620249,0.5996676233584759,166434.1655100962,832.170827550481,1.594097709705237,False,200.0,0.7594170570373535
10,RandomSearchBaseline,MMS_ZF_Profiler9020C,DL_MobileNetV3_Edge,37.96940725109734,Meso,Meso,0.5151037645235549,Storage_AWS_S3_Glacier,Communication_4G_Rural,Deployment_Cloud_H100,4,74,3288125.885960464,0.06508943004780898,400.0,61.75652909758842,2458.8050774626,0.00015714262931278074,0.934910569952191,6363.645589826388,0.7264435604824643,328812.5885960464,1644.0629429802318,2.4588050774626,False,200.0,0.7594170570373535
